week,country,region,good,bad,total,pct_bad,period
2022-02-14,armenia,armenia,1133,263,1396,18.83954154727794,Pre-war
2022-02-21,armenia,armenia,1757,278,2035,13.660933660933662,Pre-war
2022-02-28,armenia,armenia,3060,455,3515,12.944523470839261,War onset (2022-2023)
2022-03-07,armenia,armenia,2966,210,3176,6.6120906801007555,War onset (2022-2023)
2022-03-14,armenia,armenia,2751,432,3183,13.57210179076343,War onset (2022-2023)
2022-03-21,armenia,armenia,2254,443,2697,16.4256581386726,War onset (2022-2023)
2022-03-28,armenia,armenia,2143,364,2507,14.519345831671322,War onset (2022-2023)
2022-04-04,armenia,armenia,1990,555,2545,21.807465618860512,War onset (2022-2023)
2022-04-11,armenia,armenia,2972,392,3364,11.652794292508919,War onset (2022-2023)
2022-04-18,armenia,armenia,3108,413,3521,11.72962226640159,War onset (2022-2023)
2022-04-25,armenia,armenia,3296,423,3719,11.374025275611723,War onset (2022-2023)
2022-05-02,armenia,armenia,2945,716,3661,19.557497951379403,War onset (2022-2023)
2022-05-09,armenia,armenia,2923,689,3612,19.07530454042082,War onset (2022-2023)
2022-05-16,armenia,armenia,3157,636,3793,16.76773002900079,War onset (2022-2023)
2022-05-23,armenia,armenia,4088,478,4566,10.468681559351731,War onset (2022-2023)
2022-05-30,armenia,armenia,4420,495,4915,10.071210579857578,War onset (2022-2023)
2022-06-06,armenia,armenia,3014,539,3553,15.170278637770899,War onset (2022-2023)
2022-06-13,armenia,armenia,4714,548,5262,10.414291144051692,War onset (2022-2023)
2022-06-20,armenia,armenia,5244,498,5742,8.672936259143157,War onset (2022-2023)
2022-06-27,armenia,armenia,4783,803,5586,14.375223773720014,War onset (2022-2023)
2022-07-04,armenia,armenia,4528,815,5343,15.25360284484372,War onset (2022-2023)
2022-07-11,armenia,armenia,5011,546,5557,9.825445384200108,War onset (2022-2023)
2022-07-18,armenia,armenia,5069,680,5749,11.828144025047834,War onset (2022-2023)
2022-07-25,armenia,armenia,4921,590,5511,10.705861005262204,War onset (2022-2023)
2022-08-01,armenia,armenia,4289,771,5060,15.237154150197629,War onset (2022-2023)
2022-08-08,armenia,armenia,4494,787,5281,14.902480590797198,War onset (2022-2023)
2022-08-15,armenia,armenia,5051,632,5683,11.120886855534048,War onset (2022-2023)
2022-08-22,armenia,armenia,5352,532,5884,9.041468388851122,War onset (2022-2023)
2022-08-29,armenia,armenia,4693,590,5283,11.167897028203672,War onset (2022-2023)
2022-09-05,armenia,armenia,4609,427,5036,8.478951548848292,War onset (2022-2023)
2022-09-12,armenia,armenia,2645,327,2972,11.002691790040377,War onset (2022-2023)
2022-09-19,armenia,armenia,3169,401,3570,11.23249299719888,War onset (2022-2023)
2022-09-26,armenia,armenia,3081,605,3686,16.41345632121541,War onset (2022-2023)
2022-10-03,armenia,armenia,3140,563,3703,15.203888738860382,War onset (2022-2023)
2022-10-10,armenia,armenia,2413,432,2845,15.184534270650262,War onset (2022-2023)
2022-10-17,armenia,armenia,3343,537,3880,13.84020618556701,War onset (2022-2023)
2022-10-24,armenia,armenia,3244,566,3810,14.855643044619423,War onset (2022-2023)
2022-10-31,armenia,armenia,2966,703,3669,19.160534205505584,War onset (2022-2023)
2022-11-07,armenia,armenia,2933,610,3543,17.217047699689527,War onset (2022-2023)
2022-11-14,armenia,armenia,2650,403,3053,13.200131018670161,War onset (2022-2023)
2022-11-21,armenia,armenia,2486,542,3028,17.899603698811095,War onset (2022-2023)
2022-11-28,armenia,armenia,2767,607,3374,17.990515708358032,War onset (2022-2023)
2022-12-05,armenia,armenia,2884,690,3574,19.306099608282036,War onset (2022-2023)
2022-12-12,armenia,armenia,3649,498,4147,12.008680974198215,War onset (2022-2023)
2022-12-19,armenia,armenia,3897,419,4316,9.708063021316034,War onset (2022-2023)
2022-12-26,armenia,armenia,3386,289,3675,7.863945578231292,War onset (2022-2023)
2023-01-02,armenia,armenia,3572,199,3771,5.277114823654204,War onset (2022-2023)
2023-01-09,armenia,armenia,3415,195,3610,5.401662049861495,War onset (2022-2023)
2023-01-16,armenia,armenia,2686,277,2963,9.348633142085724,War onset (2022-2023)
2023-01-23,armenia,armenia,3170,242,3412,7.0926143024619,War onset (2022-2023)
2023-01-30,armenia,armenia,3304,185,3489,5.30237890513041,War onset (2022-2023)
2023-02-06,armenia,armenia,3464,83,3547,2.3400056385678036,War onset (2022-2023)
2023-02-13,armenia,armenia,3658,113,3771,2.9965526385574117,War onset (2022-2023)
2023-02-20,armenia,armenia,3370,75,3445,2.1770682148040637,War onset (2022-2023)
2023-02-27,armenia,armenia,3514,183,3697,4.949959426562078,War onset (2022-2023)
2023-03-06,armenia,armenia,3132,239,3371,7.089884307327203,War onset (2022-2023)
2023-03-13,armenia,armenia,3380,160,3540,4.519774011299435,War onset (2022-2023)
2023-03-20,armenia,armenia,3456,195,3651,5.341002465078061,War onset (2022-2023)
2023-03-27,armenia,armenia,3917,202,4119,4.904102937606216,War onset (2022-2023)
2023-04-03,armenia,armenia,3433,222,3655,6.073871409028728,War onset (2022-2023)
2023-04-10,armenia,armenia,3834,141,3975,3.547169811320755,War onset (2022-2023)
2023-04-17,armenia,armenia,4578,275,4853,5.666597980630537,War onset (2022-2023)
2023-04-24,armenia,armenia,5244,216,5460,3.9560439560439558,War onset (2022-2023)
2023-05-01,armenia,armenia,4390,186,4576,4.064685314685314,War onset (2022-2023)
2023-05-08,armenia,armenia,4418,243,4661,5.213473503540013,War onset (2022-2023)
2023-05-15,armenia,armenia,3817,539,4356,12.373737373737374,War onset (2022-2023)
2023-05-22,armenia,armenia,4591,210,4801,4.374088731514268,War onset (2022-2023)
2023-05-29,armenia,armenia,5127,239,5366,4.453969437197167,War onset (2022-2023)
2023-06-05,armenia,armenia,4476,171,4647,3.679793415106521,War onset (2022-2023)
2023-06-12,armenia,armenia,4382,104,4486,2.31832367365136,War onset (2022-2023)
2023-06-19,armenia,armenia,4902,176,5078,3.465931469082316,War onset (2022-2023)
2023-06-26,armenia,armenia,5227,143,5370,2.6629422718808193,War onset (2022-2023)
2023-07-03,armenia,armenia,4876,160,5036,3.177124702144559,War onset (2022-2023)
2023-07-10,armenia,armenia,3559,65,3624,1.7935982339955852,War onset (2022-2023)
2023-07-17,armenia,armenia,3981,69,4050,1.7037037037037037,War onset (2022-2023)
