date,hex,count_good_aircraft,count_bad_aircraft,total,pct_bad,region,subregion,jamming_level
2025-08-18,842c003ffffffff,12,0,12,0.0,armenia,armenia,good
2025-08-18,842c00bffffffff,158,23,181,12.15,armenia,armenia,bad
2025-08-18,842c011ffffffff,99,0,99,0.0,armenia,armenia,good
2025-08-18,842c013ffffffff,93,1,94,0.0,azerbaijan,azerbaijan,good
2025-08-18,842c015ffffffff,59,1,60,0.0,armenia,armenia,good
2025-08-18,842c017ffffffff,119,2,121,0.83,armenia,armenia,good
2025-08-18,842c019ffffffff,158,2,160,0.62,armenia,armenia,good
2025-08-18,842c01bffffffff,137,1,138,0.0,armenia,armenia,good
2025-08-18,842c01dffffffff,131,6,137,3.65,armenia,armenia,medium
2025-08-18,842c031ffffffff,2,0,2,0.0,azerbaijan,nakhchivan,good
2025-08-18,842c033ffffffff,23,1,24,0.0,armenia,armenia,good
2025-08-18,842c035ffffffff,13,1,14,0.0,azerbaijan,nakhchivan,good
2025-08-18,842c037ffffffff,17,0,17,0.0,azerbaijan,nakhchivan,good
2025-08-18,842c039ffffffff,7,0,7,0.0,azerbaijan,nakhchivan,good
2025-08-18,842c03bffffffff,30,0,30,0.0,armenia,armenia,good
2025-08-18,842c03dffffffff,22,1,23,0.0,azerbaijan,nakhchivan,good
2025-08-18,842c051ffffffff,138,2,140,0.71,armenia,armenia,good
2025-08-18,842c053ffffffff,128,3,131,1.53,armenia,armenia,good
2025-08-18,842c055ffffffff,148,20,168,11.31,armenia,armenia,bad
2025-08-18,842c057ffffffff,19,2,21,4.76,armenia,armenia,medium
2025-08-18,842c05bffffffff,14,0,14,0.0,armenia,armenia,good
2025-08-18,842c081ffffffff,52,25,77,31.17,azerbaijan,azerbaijan,bad
2025-08-18,842c083ffffffff,56,26,82,30.49,azerbaijan,azerbaijan,bad
2025-08-18,842c085ffffffff,48,8,56,12.5,azerbaijan,azerbaijan,bad
2025-08-18,842c087ffffffff,75,33,108,29.63,azerbaijan,azerbaijan,bad
2025-08-18,842c089ffffffff,46,13,59,20.34,azerbaijan,azerbaijan,bad
2025-08-18,842c08bffffffff,26,13,39,30.77,azerbaijan,azerbaijan,bad
2025-08-18,842c08dffffffff,19,7,26,23.08,azerbaijan,azerbaijan,bad
2025-08-18,842c091ffffffff,18,6,24,20.83,azerbaijan,azerbaijan,bad
2025-08-18,842c095ffffffff,27,9,36,22.22,azerbaijan,azerbaijan,bad
2025-08-18,842c097ffffffff,13,3,16,12.5,azerbaijan,azerbaijan,bad
2025-08-18,842c0a1ffffffff,4,0,4,0.0,azerbaijan,azerbaijan,good
2025-08-18,842c0a3ffffffff,24,10,34,26.47,azerbaijan,azerbaijan,bad
2025-08-18,842c0a7ffffffff,4,0,4,0.0,azerbaijan,azerbaijan,good
2025-08-18,842c0a9ffffffff,39,9,48,16.67,azerbaijan,azerbaijan,bad
