zone,date,affected_hexes,affected_km2,high,medium
Arabian Peninsula & Red Sea,2022-03-07,2.0,3541.0,0.0,2.0
Arabian Peninsula & Red Sea,2022-03-14,,,,
Arabian Peninsula & Red Sea,2022-03-21,,,,
Arabian Peninsula & Red Sea,2022-03-28,,,,
Arabian Peninsula & Red Sea,2022-04-04,16.0,28326.0,7.0,9.0
Arabian Peninsula & Red Sea,2022-04-11,,,,
Arabian Peninsula & Red Sea,2022-04-18,,,,
Arabian Peninsula & Red Sea,2022-04-25,,,,
Arabian Peninsula & Red Sea,2022-05-02,,,,
Arabian Peninsula & Red Sea,2022-05-09,,,,
Arabian Peninsula & Red Sea,2022-05-16,,,,
Arabian Peninsula & Red Sea,2022-05-23,,,,
Arabian Peninsula & Red Sea,2022-05-30,,,,
Arabian Peninsula & Red Sea,2022-06-06,,,,
Arabian Peninsula & Red Sea,2022-06-13,,,,
Arabian Peninsula & Red Sea,2022-06-20,,,,
Arabian Peninsula & Red Sea,2022-06-27,,,,
Arabian Peninsula & Red Sea,2022-07-04,,,,
Arabian Peninsula & Red Sea,2022-07-11,,,,
Arabian Peninsula & Red Sea,2022-07-18,,,,
Arabian Peninsula & Red Sea,2022-07-25,,,,
Arabian Peninsula & Red Sea,2022-08-01,,,,
Arabian Peninsula & Red Sea,2022-08-08,,,,
Arabian Peninsula & Red Sea,2022-08-15,,,,
Arabian Peninsula & Red Sea,2022-08-22,,,,
Arabian Peninsula & Red Sea,2022-08-29,,,,
Arabian Peninsula & Red Sea,2022-09-05,,,,
Arabian Peninsula & Red Sea,2022-09-12,,,,
Arabian Peninsula & Red Sea,2022-09-19,,,,
Arabian Peninsula & Red Sea,2022-09-26,1.0,1770.0,0.0,1.0
Arabian Peninsula & Red Sea,2022-10-03,,,,
Arabian Peninsula & Red Sea,2022-10-10,,,,
Arabian Peninsula & Red Sea,2022-10-17,,,,
Arabian Peninsula & Red Sea,2022-10-24,1.0,1770.0,0.0,1.0
Arabian Peninsula & Red Sea,2022-10-31,,,,
Arabian Peninsula & Red Sea,2022-11-07,,,,
Arabian Peninsula & Red Sea,2022-11-14,,,,
Arabian Peninsula & Red Sea,2022-11-21,,,,
Arabian Peninsula & Red Sea,2022-11-28,,,,
Arabian Peninsula & Red Sea,2022-12-05,,,,
Arabian Peninsula & Red Sea,2022-12-12,,,,
Arabian Peninsula & Red Sea,2022-12-19,,,,
Arabian Peninsula & Red Sea,2022-12-26,,,,
Arabian Peninsula & Red Sea,2023-01-02,,,,
Arabian Peninsula & Red Sea,2023-01-09,,,,
Arabian Peninsula & Red Sea,2023-01-16,,,,
Arabian Peninsula & Red Sea,2023-01-23,,,,
Arabian Peninsula & Red Sea,2023-01-30,,,,
Arabian Peninsula & Red Sea,2023-02-06,,,,
Arabian Peninsula & Red Sea,2023-02-13,,,,
Arabian Peninsula & Red Sea,2023-02-20,,,,
Arabian Peninsula & Red Sea,2023-02-27,,,,
Arabian Peninsula & Red Sea,2023-03-06,,,,
Arabian Peninsula & Red Sea,2023-03-13,,,,
Arabian Peninsula & Red Sea,2023-03-20,,,,
Arabian Peninsula & Red Sea,2023-03-27,,,,
Arabian Peninsula & Red Sea,2023-04-03,,,,
Arabian Peninsula & Red Sea,2023-04-10,,,,
Arabian Peninsula & Red Sea,2023-04-17,,,,
Arabian Peninsula & Red Sea,2023-04-24,,,,
Arabian Peninsula & Red Sea,2023-05-01,,,,
Arabian Peninsula & Red Sea,2023-05-08,,,,
Arabian Peninsula & Red Sea,2023-05-15,,,,
Arabian Peninsula & Red Sea,2023-05-22,,,,
Arabian Peninsula & Red Sea,2023-05-29,,,,
Arabian Peninsula & Red Sea,2023-06-05,,,,
Arabian Peninsula & Red Sea,2023-06-12,,,,
Arabian Peninsula & Red Sea,2023-06-19,,,,
Arabian Peninsula & Red Sea,2023-06-26,,,,
Arabian Peninsula & Red Sea,2023-07-03,,,,
Arabian Peninsula & Red Sea,2023-07-10,1.0,2213.0,0.0,1.0
Arabian Peninsula & Red Sea,2023-07-17,,,,
Arabian Peninsula & Red Sea,2023-07-24,,,,
Arabian Peninsula & Red Sea,2023-07-31,,,,
Arabian Peninsula & Red Sea,2023-08-07,,,,
Arabian Peninsula & Red Sea,2023-08-14,,,,
Arabian Peninsula & Red Sea,2023-08-21,,,,
Arabian Peninsula & Red Sea,2023-08-28,,,,
Arabian Peninsula & Red Sea,2023-09-04,,,,
Arabian Peninsula & Red Sea,2023-09-11,,,,
Arabian Peninsula & Red Sea,2023-09-18,,,,
Arabian Peninsula & Red Sea,2023-09-25,,,,
Arabian Peninsula & Red Sea,2023-10-02,,,,
Arabian Peninsula & Red Sea,2023-10-09,,,,
Arabian Peninsula & Red Sea,2023-10-16,1.0,1770.0,0.0,1.0
Arabian Peninsula & Red Sea,2023-10-23,,,,
Arabian Peninsula & Red Sea,2023-10-30,,,,
Arabian Peninsula & Red Sea,2023-11-06,,,,
Arabian Peninsula & Red Sea,2023-11-13,,,,
Arabian Peninsula & Red Sea,2023-11-20,,,,
Arabian Peninsula & Red Sea,2023-11-27,,,,
Arabian Peninsula & Red Sea,2023-12-04,,,,
Arabian Peninsula & Red Sea,2023-12-11,,,,
Arabian Peninsula & Red Sea,2023-12-18,,,,
Arabian Peninsula & Red Sea,2023-12-25,,,,
Arabian Peninsula & Red Sea,2024-01-01,,,,
Arabian Peninsula & Red Sea,2024-01-08,,,,
Arabian Peninsula & Red Sea,2024-01-15,,,,
Arabian Peninsula & Red Sea,2024-01-22,,,,
Arabian Peninsula & Red Sea,2024-01-29,,,,
Arabian Peninsula & Red Sea,2024-02-05,,,,
Arabian Peninsula & Red Sea,2024-02-12,,,,
Arabian Peninsula & Red Sea,2024-02-19,,,,
Arabian Peninsula & Red Sea,2024-02-26,,,,
Arabian Peninsula & Red Sea,2024-03-04,,,,
Arabian Peninsula & Red Sea,2024-03-11,,,,
Arabian Peninsula & Red Sea,2024-03-18,,,,
Arabian Peninsula & Red Sea,2024-03-25,,,,
Arabian Peninsula & Red Sea,2024-04-01,,,,
Arabian Peninsula & Red Sea,2024-04-08,,,,
Arabian Peninsula & Red Sea,2024-04-15,,,,
Arabian Peninsula & Red Sea,2024-04-22,,,,
Arabian Peninsula & Red Sea,2024-04-29,3.0,5311.0,0.0,3.0
Arabian Peninsula & Red Sea,2024-05-06,2.0,3541.0,0.0,2.0
Arabian Peninsula & Red Sea,2024-05-13,1.0,1770.0,0.0,0.0
Arabian Peninsula & Red Sea,2024-05-20,,,,
Arabian Peninsula & Red Sea,2024-05-27,,,,
Arabian Peninsula & Red Sea,2024-06-03,,,,
Arabian Peninsula & Red Sea,2024-06-10,2.0,3541.0,1.0,1.0
Arabian Peninsula & Red Sea,2024-06-17,1.0,1770.0,0.0,1.0
Arabian Peninsula & Red Sea,2024-06-24,3.0,5016.0,0.0,2.0
Arabian Peninsula & Red Sea,2024-07-01,3.0,5817.0,1.0,2.0
Arabian Peninsula & Red Sea,2024-07-08,2.0,3541.0,0.0,2.0
Arabian Peninsula & Red Sea,2024-07-15,2.0,4426.0,2.0,1.0
Arabian Peninsula & Red Sea,2024-07-22,2.0,4131.0,0.0,2.0
